Date,Mentions-DDoS,Mentions-Phishing,Mentions-Ransomware,Mentions-Password Attack,Mentions-SQL Injection,Mentions-Account Hijacking,Mentions-Defacement,Mentions-Trojan,Mentions-Vulnerability,Mentions-Zero-day,Mentions-Advanced persistent threat,Mentions-XSS,Mentions-Malware,Mentions-Data Breach,Mentions-Disinformation/Misinformation,Mentions-Targeted Attack,Mentions-Adware,Mentions-Brute Force Attack,Mentions-Malvertising,Mentions-Backdoor,Mentions-Botnet,Mentions-Cryptojacking,Mentions-Worms,Mentions-Spyware,Mentions-MITM,Mentions-DNS Spoofing,Mentions-Pegasus Spyware,Mentions-CoolWebSearch Spyware,Mentions-Gator GAIN Spyware,Mentions-180search Assistant Spyware,Mentions-Transponder vx2 Spyware,Mentions-WannaCry Ransomware,Mentions-Colonial Pipeline Ransomware,Mentions-Cryptolocker,Mentions-Dropper,Mentions-Wiper,Mentions-Pharming,Mentions-Insider Threat,Mentions-Drive-by,Mentions-Rootkit,Mentions-Adversarial Attack,Mentions-Data Poisoning,Mentions-Deepfake,Mentions-Deeplocker,Mentions-Supply Chain,Mentions-IoT Device Attack,Mentions-Keylogger,Mentions-DNS Tunneling,Mentions-Session Hijacking,Mentions-URL manipulation,Mentions-Unknown
mostlyd0-f849-4333-84bc-0bea779cca8b,60,71,22,75,8,4,7,58,31406,25,32,17,834,22,9,1,2,35,4,49,11,11,24,11,37,6,0,0,0,0,0,7,0,0,0,0,0,23,2,14,2,13,85,0,7,9,1,0,7,0,8
mostly4c-dbe8-4d6d-8cb9-817b38e7d185,372,11,58,154,52,0,3,42,21263,24,36,20,475,151,134,4,5,15,5,2,142,3,9,7,28,5,0,0,0,0,0,7,0,1,0,0,0,35,9,15,158,0,66,0,40,49,3,6,6,1,12
mostly41-dd22-4d25-b0f7-800a1a14c137,370,193,63,144,24,1,8,37,18969,29,12,6,503,68,225,22,3,33,5,15,6,1,24,7,47,5,0,0,0,0,0,9,0,1,0,0,5,2,5,3,160,7,0,0,3,19,1,8,0,1,2
mostlybc-311c-47b6-968b-63142a4a5acf,50,203,10,67,8,3,4,21,3584,25,10,7,960,152,12,19,5,24,6,4,141,12,6,9,26,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,5,20,0,33,80,0,1,0,1,9
mostly05-3998-4bd5-bde8-61c73f25cff2,173,206,52,19,12,2,0,43,22201,27,35,20,663,87,175,16,3,28,3,60,49,9,28,0,14,4,0,0,0,0,0,7,0,2,0,0,5,1,8,0,10,13,50,0,38,58,0,0,0,0,2
mostly3b-c475-4079-a7fb-d588a91be516,357,37,29,86,9,3,1,58,15800,29,35,15,1091,121,7,22,4,23,1,53,146,13,28,12,74,5,0,0,0,0,0,10,0,0,0,0,4,3,8,3,69,10,53,0,19,69,0,10,7,1,2
mostly55-e1c8-4c04-bda0-aba8f3a6cfb2,381,207,17,112,35,3,4,59,9366,26,32,13,459,148,169,18,2,26,5,55,47,15,28,8,48,4,0,0,0,0,0,8,0,2,0,0,4,53,10,4,101,3,75,0,40,5,1,7,1,0,0
mostlydc-f64c-4fa3-af23-2c979e79863f,373,211,88,52,25,2,4,37,33050,26,35,18,573,145,115,20,3,35,4,58,124,11,26,7,69,5,0,0,0,0,0,8,0,2,0,0,4,37,10,14,158,1,51,0,5,107,0,8,1,0,4
mostly67-d768-45f6-b7cd-1e7e31448f38,206,84,5,98,41,0,0,5,18540,6,21,16,261,60,198,10,4,22,0,53,140,6,27,1,34,2,0,0,0,0,0,10,0,0,0,0,1,25,7,2,151,6,8,0,3,79,0,2,0,0,1
mostlyca-9b44-4a36-97a3-9cc8b5013993,407,198,89,32,41,2,7,58,26969,28,35,2,610,147,240,9,1,21,0,44,143,11,26,10,4,4,0,0,0,0,0,9,0,0,0,0,4,50,10,7,160,2,4,0,20,18,4,0,1,0,12
mostly77-adec-4dc4-af39-a55575dd1f65,372,19,98,145,36,2,5,53,28767,0,34,18,466,110,74,3,1,32,2,1,127,2,5,1,21,0,0,0,0,0,0,10,0,2,0,0,1,47,9,9,44,5,9,0,33,46,2,2,6,0,0
mostlya8-b1a8-4d27-80c1-b414b3b1cd19,387,212,98,144,41,3,4,29,30644,28,21,20,816,131,257,4,6,33,4,40,49,6,8,6,3,0,0,0,0,0,0,1,0,1,0,0,3,32,7,0,33,7,10,0,40,109,1,7,6,1,5
mostlyf8-2d83-494e-9c59-7345c2d8fb87,379,30,94,130,46,3,1,5,15784,28,33,7,660,118,136,8,4,7,4,47,137,14,20,1,71,5,0,0,0,0,0,8,0,1,0,0,5,47,9,2,20,10,22,0,14,18,3,8,1,0,10
mostlyba-78a3-4e10-a98f-23c0d901d0a6,383,97,92,151,49,3,1,33,31296,10,8,16,254,150,85,13,4,9,0,52,102,1,1,8,37,0,0,0,0,0,0,6,0,1,0,0,0,48,5,1,149,5,87,0,28,54,0,0,0,1,13
mostlya3-2569-4ba6-b794-2c93226ac8f2,20,134,15,125,43,3,1,55,40017,28,35,20,239,122,244,1,0,15,4,60,95,11,27,5,71,2,0,0,0,0,0,2,0,1,0,0,2,25,10,2,60,1,70,0,11,47,0,0,5,0,5
mostly67-2fec-4fab-b6f3-b4465408a8cb,181,180,92,155,20,2,0,59,26429,27,30,2,497,146,177,1,0,32,3,53,47,14,22,8,32,6,0,0,0,0,0,1,0,0,0,0,1,30,10,4,6,6,8,0,4,42,0,2,0,0,11
mostly38-472d-4c9b-befc-f7d8159ffce2,170,206,85,32,29,2,2,41,2132,1,34,20,1062,77,97,8,1,5,2,50,90,7,25,7,71,5,0,0,0,0,0,2,0,1,0,0,0,51,10,1,7,1,50,0,6,48,3,1,6,1,5
mostly1d-6746-4f5c-8cdc-458339d18e31,314,161,38,60,18,2,3,55,19273,25,20,18,836,90,227,7,5,16,3,8,93,9,26,10,15,5,0,0,0,0,0,8,0,1,0,0,5,52,1,9,72,1,60,0,9,43,0,10,6,1,10
mostlyf8-f44b-4751-a7f6-6a437b59171a,358,117,92,22,26,0,7,59,21004,26,1,7,407,24,258,18,5,33,4,3,123,0,7,0,5,5,0,0,0,0,0,4,0,1,0,0,4,47,11,14,161,12,0,0,35,6,0,9,4,1,1
mostlyee-8a4b-4354-9f7d-e28915fd46e4,22,7,46,60,6,3,2,58,41609,26,6,10,263,74,257,2,2,17,0,9,7,3,8,1,15,0,0,0,0,0,0,8,0,0,0,0,0,3,10,1,45,9,34,0,18,0,0,0,4,0,11
mostlya0-7455-4384-9903-fcd377a21a41,357,34,48,155,40,2,2,33,5988,28,29,20,1029,144,259,14,5,18,3,10,140,3,25,9,48,0,0,0,0,0,0,2,0,1,0,0,2,46,10,9,26,1,3,0,4,5,5,8,0,1,3
mostly64-3925-4cb0-825f-0a41a878bf02,117,207,23,32,48,4,2,59,26237,29,32,19,859,147,249,21,6,3,5,49,138,9,24,5,50,6,0,0,0,0,0,3,0,1,0,0,1,19,8,6,25,4,51,0,40,14,1,1,0,1,11
mostly0e-f7c9-4ad6-80d8-9261d3ca0821,76,41,88,48,47,4,3,58,18979,28,13,18,303,13,19,10,0,15,3,56,25,11,28,3,5,2,0,0,0,0,0,0,0,1,0,0,0,44,1,6,159,2,0,0,40,3,0,9,1,0,5
mostlyed-137a-4d47-881c-67541e86f495,247,193,97,144,11,2,2,11,16744,11,32,20,1110,12,53,11,5,32,0,30,102,5,8,10,72,5,0,0,0,0,0,10,0,1,0,0,0,2,2,13,46,3,40,0,23,11,0,7,0,0,1
mostly5f-2f6d-4634-a3ab-8decd7697cb5,396,207,87,19,36,3,2,59,26900,5,20,18,947,86,249,22,0,22,6,57,47,13,25,8,4,2,0,0,0,0,0,2,0,0,0,0,0,23,1,7,72,12,64,0,40,64,1,1,6,1,8
mostlyfe-9b79-4c40-8feb-264645819df3,103,201,30,38,47,4,6,58,18764,26,18,13,210,118,229,21,1,31,4,56,127,0,26,5,48,2,0,0,0,0,0,6,0,2,0,0,1,49,10,13,160,14,8,0,6,104,3,4,6,0,0
mostlyf1-4e78-42ba-8f4d-ab8ee7a22d5f,405,163,72,51,17,0,5,7,5976,2,13,20,875,53,36,9,0,26,0,32,60,9,7,1,46,4,0,0,0,0,0,5,0,0,0,0,0,30,0,5,64,0,0,0,0,79,0,0,5,0,3
mostlyf6-9499-45c6-8f1e-404351ff0f21,394,183,99,128,43,1,2,58,10363,13,34,6,863,87,256,14,1,17,0,52,147,13,26,11,9,0,0,0,0,0,0,7,0,1,0,0,0,35,2,14,5,2,10,0,32,0,2,6,0,1,10
mostlyf3-f2a0-4ed9-89c4-2d59926beaf7,238,111,1,73,19,0,7,59,28849,25,34,2,640,151,52,10,5,8,2,6,93,12,4,8,73,0,0,0,0,0,0,2,0,1,0,0,0,10,4,15,26,11,3,0,19,55,5,9,0,1,1
mostly09-5776-471b-890a-8724684241a9,357,212,92,30,14,1,6,58,30593,29,29,19,758,93,28,22,1,24,5,56,84,14,27,9,23,3,0,0,0,0,0,9,0,2,0,0,0,19,7,9,8,14,3,0,28,0,5,11,0,1,6
mostly36-9457-469b-9fcb-335fda94ed81,55,97,3,24,51,3,0,46,27031,20,17,2,209,107,238,14,6,2,5,7,138,1,1,5,39,0,0,0,0,0,0,11,0,0,0,0,0,41,9,2,75,0,0,0,0,0,0,2,2,1,10
mostlyf1-0afd-4f7d-bf08-b72ca97856b3,337,210,48,32,27,0,0,58,4195,18,6,19,718,151,129,22,1,3,0,57,141,12,28,1,9,0,0,0,0,0,0,4,0,1,0,0,5,1,0,0,44,5,50,0,40,80,3,0,4,0,3
mostly68-730c-4848-9229-8a41b2b08c75,337,6,97,145,49,3,3,58,15606,25,12,14,318,108,16,21,3,28,3,2,147,14,22,4,46,4,0,0,0,0,0,0,0,1,0,0,5,30,10,13,91,12,21,0,12,34,1,4,0,0,7
mostlyeb-6dbe-4adb-96b3-359396a4e71a,154,215,32,123,40,3,3,14,32613,7,28,18,571,61,234,3,0,31,5,29,141,8,24,8,25,3,0,0,0,0,0,8,0,1,0,0,0,50,2,3,9,7,50,0,37,109,1,0,6,0,10
mostly72-aa24-429d-ab58-419b5cc2f4e9,288,194,72,138,27,2,0,14,10243,27,26,18,985,12,214,14,5,31,5,14,82,1,17,11,4,4,0,0,0,0,0,9,0,2,0,0,1,51,10,9,0,0,33,0,40,1,4,10,0,0,11
mostlyf6-cb27-4f90-adb6-db7d1090b11f,87,211,26,147,26,3,5,59,3403,25,32,19,255,13,237,21,0,35,0,5,58,12,28,5,44,0,0,0,0,0,0,1,0,0,0,0,0,3,7,0,105,12,0,0,4,27,0,9,6,0,0
mostlyea-e2ed-4683-8ed8-c999245eafd1,390,21,94,138,13,2,3,58,24974,8,12,18,869,61,109,16,5,23,0,52,18,6,24,4,54,5,0,0,0,0,0,7,0,0,0,0,4,31,0,14,6,4,62,0,9,9,0,8,6,0,12
mostlybf-9f49-4086-87fd-e351e5e736c3,346,97,89,115,25,1,7,26,31834,17,31,15,564,108,166,3,2,3,1,30,74,12,26,5,69,3,0,0,0,0,0,7,0,1,0,0,5,37,0,9,15,13,19,0,40,3,0,9,2,1,11
mostly1d-a58a-489c-9f6b-f3819ecc9313,70,196,66,154,26,3,8,4,28863,5,28,6,444,148,106,4,3,18,4,62,72,14,23,8,36,5,0,0,0,0,0,2,0,2,0,0,0,13,3,1,38,0,0,0,12,9,1,0,6,1,12
mostlyb3-2ea0-4a1d-a758-00e134f04285,218,209,100,56,42,3,8,6,26020,29,4,16,792,151,228,1,5,30,5,48,138,11,2,1,27,6,0,0,0,0,0,4,0,2,0,0,0,40,0,14,109,6,10,0,27,51,4,4,6,0,0
mostlyfe-ec93-4751-a20b-f6ca78caa02d,279,212,12,30,44,3,7,58,4145,27,9,18,750,147,38,18,4,32,1,52,138,3,3,7,14,3,0,0,0,0,0,11,0,1,0,0,4,23,7,1,92,4,73,0,13,79,1,4,0,1,7
mostly56-7437-44ab-98ef-06d438f0ed18,76,213,84,148,52,3,2,33,25565,29,32,8,1105,78,31,16,3,9,3,41,128,7,27,3,59,3,0,0,0,0,0,11,0,1,0,0,2,14,10,14,160,3,83,0,27,98,3,0,6,0,10
mostlyae-2738-4b87-ad9a-edaccde08e3a,242,92,84,156,2,0,2,59,25005,2,17,1,751,130,243,21,0,32,0,18,85,11,28,0,74,0,0,0,0,0,0,1,0,0,0,0,3,16,0,2,2,5,0,0,4,80,0,4,0,0,9
mostly25-2592-4a83-a555-f89e541a4922,357,40,89,43,42,0,2,39,28719,27,24,18,703,144,16,8,6,31,4,45,148,13,1,3,77,6,0,0,0,0,0,8,0,1,0,0,3,33,9,4,39,0,80,0,35,9,2,9,0,1,10
mostly23-cbd1-4fb1-af91-773d04d4ba2d,124,193,86,63,17,0,2,59,30835,7,29,3,258,149,91,1,0,2,1,55,148,1,27,6,72,5,0,0,0,0,0,6,0,2,0,0,4,51,9,0,52,3,0,0,38,80,0,2,0,1,10
mostly7a-8dea-465a-9cd3-c274a347efd7,22,197,93,100,48,0,4,17,16568,2,30,12,631,12,66,1,1,9,4,61,144,6,2,0,73,4,0,0,0,0,0,10,0,0,0,0,4,45,3,10,126,4,54,0,40,9,0,9,6,1,10
mostly36-0143-4261-9cf5-5fa93f3d69e3,366,213,84,47,5,4,5,32,18539,16,16,12,221,111,232,22,0,4,5,6,139,13,4,7,31,5,0,0,0,0,0,4,0,0,0,0,0,36,2,5,6,5,39,0,20,31,4,9,0,0,9
mostlyd5-0406-4351-badd-78663fccfcf1,148,25,97,155,41,3,0,28,25003,12,31,11,294,107,194,22,2,18,1,15,54,6,26,2,49,6,0,0,0,0,0,5,0,2,0,0,0,35,7,5,162,10,70,0,3,100,2,4,1,0,7
mostly96-a704-46e5-b1ce-e68d87c22c6c,191,122,85,151,48,0,8,48,10330,27,3,20,682,149,151,4,2,11,1,9,114,5,26,10,74,1,0,0,0,0,0,9,0,0,0,0,5,19,8,0,51,0,40,0,1,62,0,0,4,0,0
mostlyc7-7d02-4371-984a-9d852ce39639,230,140,83,55,41,2,2,59,30485,25,7,6,1092,52,73,14,6,25,4,5,71,11,27,9,14,0,0,0,0,0,0,3,0,0,0,0,4,30,10,14,52,13,70,0,7,101,0,0,1,0,0
mostly67-a321-43da-be00-1603c7582432,376,191,101,71,29,2,7,58,41735,26,23,8,1147,144,173,21,2,16,0,12,146,1,14,5,6,5,0,0,0,0,0,8,0,0,0,0,3,8,4,0,11,6,30,0,40,19,2,4,7,0,11
mostly16-1b35-47b6-9922-41e68b127d87,375,139,25,148,45,4,7,59,24889,29,33,18,668,101,256,8,6,32,1,60,20,11,27,0,33,5,0,0,0,0,0,10,0,0,0,0,3,36,5,0,2,5,55,0,40,65,0,9,4,0,7
mostly98-ceab-4c30-8247-2daf9ec9342a,83,21,91,52,40,0,6,1,14092,5,33,20,816,148,235,19,5,29,3,60,116,11,26,10,70,6,0,0,0,0,0,10,0,1,0,0,2,41,3,0,160,7,50,0,40,73,4,0,6,1,1
mostly7a-e1d7-4ea0-81c1-1210e859c7c2,372,191,99,149,29,2,1,59,36033,26,33,13,180,117,130,22,4,4,1,62,77,11,1,3,71,6,0,0,0,0,0,9,0,1,0,0,1,6,10,13,22,13,19,0,7,101,2,9,6,0,8
mostly9c-54bf-4927-bfcd-fa6bb1fb7855,374,121,93,56,0,2,7,2,19535,27,32,7,1320,23,99,22,2,3,1,6,62,9,27,8,14,0,0,0,0,0,0,2,0,0,0,0,0,1,10,9,165,11,43,0,10,63,4,0,6,1,10
mostlyb3-fbec-46d7-bfdc-22b031042e70,386,194,98,145,9,2,4,13,2712,27,1,18,965,40,230,9,6,35,1,27,24,8,27,3,6,5,0,0,0,0,0,9,0,1,0,0,0,24,5,14,4,8,42,0,31,8,0,6,0,0,0
mostly43-c3b1-4317-b0b0-2dacf12bd79e,404,215,87,62,50,3,1,59,22701,3,30,19,1054,144,142,16,4,35,0,53,147,11,13,7,6,0,0,0,0,0,0,3,0,1,0,0,5,18,6,9,162,7,35,0,2,106,1,3,0,0,10
mostly8d-cc8f-42ac-a5e5-6f240491b63c,184,116,70,143,47,3,6,59,32849,27,13,11,415,42,101,22,4,2,1,34,139,8,25,0,41,2,0,0,0,0,0,5,0,2,0,0,1,32,10,9,161,1,71,0,8,0,3,3,3,0,2
mostly97-fcf7-444f-85b4-5ed8c154b0cc,394,194,32,151,25,0,6,43,1523,25,35,2,975,122,245,22,3,8,1,51,128,5,5,4,4,4,0,0,0,0,0,2,0,1,0,0,0,43,9,9,0,14,48,0,27,73,1,9,3,1,1
mostly23-62fc-443c-bbb7-47f660faf1a0,349,215,66,125,47,3,6,59,16497,15,22,4,407,67,234,2,1,11,4,4,56,14,28,8,25,2,0,0,0,0,0,2,0,0,0,0,0,31,7,3,59,12,0,0,32,71,0,4,4,1,2
mostly38-ac5e-489e-ae9f-9ba74e5fc0f5,359,171,85,146,42,2,1,59,20588,11,18,19,497,148,70,19,6,19,0,48,54,14,4,8,33,3,0,0,0,0,0,6,0,2,0,0,0,14,0,10,164,12,40,0,2,20,0,0,6,1,0
mostly2b-6ee5-42e2-976f-8c99107b09a4,364,195,94,132,21,3,8,45,22014,28,13,19,982,153,141,17,3,20,3,4,116,13,14,0,15,0,0,0,0,0,0,3,0,0,0,0,2,19,9,4,158,9,14,0,40,39,0,9,1,1,0
mostlyc7-13e8-4e2f-b92d-6f2c666937a8,368,217,92,146,17,2,6,58,4238,23,29,18,728,153,150,1,5,29,5,59,38,2,1,8,22,0,0,0,0,0,0,4,0,0,0,0,2,3,9,13,159,0,40,0,30,70,0,9,6,1,12
mostly10-137f-46c2-992a-18aea0244dd8,221,164,35,27,24,1,4,14,2540,25,22,20,305,152,158,22,2,35,6,45,77,0,25,5,46,5,0,0,0,0,0,11,0,1,0,0,0,31,8,5,164,12,80,0,3,99,3,10,2,0,1
mostlyfa-cfa7-4338-8f0e-1ce9a6946782,86,107,53,147,0,3,7,17,30424,6,2,3,1052,148,39,3,6,12,6,49,131,7,25,3,10,6,0,0,0,0,0,4,0,1,0,0,0,12,3,5,4,7,69,0,14,70,0,5,1,1,11
mostlya2-8670-45ee-884e-50e490ea915f,403,192,96,147,43,3,8,23,27029,27,28,18,844,144,218,17,4,33,4,14,147,3,19,11,53,3,0,0,0,0,0,4,0,2,0,0,0,12,10,0,14,10,60,0,22,5,0,2,5,0,3
mostlyf1-dc89-49b4-9cc2-8b267258b7ae,130,70,74,32,30,0,4,59,13999,25,19,18,1099,66,229,22,1,35,0,39,126,13,25,5,8,1,0,0,0,0,0,1,0,1,0,0,1,48,10,14,124,13,43,0,40,104,3,9,2,1,0
mostly6b-b80e-492a-ad94-5883d9e06e41,364,215,88,127,10,4,0,54,28383,19,20,18,1063,22,246,18,1,2,0,62,57,11,6,8,14,5,0,0,0,0,0,5,0,0,0,0,1,27,10,2,66,13,38,0,3,7,0,0,1,1,2
mostly67-93e6-4e5a-9995-fbb0387dbb1c,22,38,91,27,5,2,0,45,29241,20,29,16,700,152,129,2,6,28,5,57,40,12,26,9,69,2,0,0,0,0,0,10,0,0,0,0,0,8,2,5,114,2,3,0,10,17,1,0,0,1,10
mostlye1-28b0-4a9d-b257-3c7252922d63,386,159,93,58,47,2,1,44,14131,25,30,21,363,146,172,1,2,6,3,6,126,2,28,0,35,4,0,0,0,0,0,9,0,1,0,0,4,7,10,9,3,1,55,0,40,2,2,4,3,0,12
mostlydc-a204-4b50-821a-36c7b8ebdf5a,108,178,87,77,0,3,5,23,36955,4,9,20,211,145,258,2,0,18,0,58,92,12,21,9,19,4,0,0,0,0,0,3,0,2,0,0,1,9,2,4,163,6,39,0,4,1,5,0,6,1,9
mostly49-5f85-44ad-b5c5-19d4f6d01af0,395,189,54,18,44,3,4,24,32183,4,35,4,800,146,211,23,3,35,0,44,63,14,28,9,75,5,0,0,0,0,0,4,0,0,0,0,2,32,9,6,47,13,16,0,40,64,0,8,3,0,10
mostlye2-565d-44d2-b227-c485e99321f8,32,208,95,150,15,2,4,58,22060,10,22,21,1072,70,231,3,5,12,4,7,142,1,26,12,71,3,0,0,0,0,0,10,0,1,0,0,0,1,6,13,161,13,35,0,9,50,4,2,3,0,1
mostly8e-b0a3-4f0b-ab48-71955381db06,24,65,93,141,50,3,4,59,32611,11,28,18,603,105,37,16,2,7,1,21,55,11,27,7,75,0,0,0,0,0,0,0,0,1,0,0,0,50,10,2,158,13,52,0,40,62,3,9,0,1,12
mostly16-ba5b-4207-95c8-027881276c73,397,200,85,18,14,3,0,24,26188,27,15,20,827,148,151,21,1,32,0,14,6,1,24,7,7,1,0,0,0,0,0,1,0,1,0,0,2,32,7,0,161,12,0,0,20,24,0,1,6,1,2
mostly92-001d-4606-bf44-c4c9799ccdc3,180,73,84,148,41,3,1,47,3044,28,35,18,1191,153,236,9,2,19,2,47,148,11,8,5,47,0,0,0,0,0,0,9,0,0,0,0,2,31,5,3,106,12,26,0,16,27,1,8,6,1,8
mostly2d-1c34-4f4b-832c-dc4c19f855dd,162,191,95,149,6,3,1,58,27025,3,1,19,233,153,76,19,0,9,3,50,139,8,15,3,70,4,0,0,0,0,0,1,0,1,0,0,2,9,3,14,93,10,30,0,5,7,4,8,0,1,10
mostlyec-e251-4099-82f5-7d5b38400800,171,129,89,144,19,0,1,30,28763,5,17,20,985,144,260,5,4,15,6,15,132,11,20,12,71,2,0,0,0,0,0,5,0,1,0,0,0,32,10,4,0,13,1,0,28,105,4,9,0,1,10
mostly4a-b4ba-4b59-a7d8-bf6c8a268a38,377,109,88,19,6,3,5,58,35580,16,33,14,563,152,38,20,4,10,4,20,143,11,26,4,72,2,0,0,0,0,0,11,0,0,0,0,0,23,10,4,42,12,3,0,4,21,0,6,7,1,0
mostly9b-0f1c-40c5-b23c-2b2922baaad7,260,200,90,95,50,3,4,59,41763,26,2,8,168,144,233,13,6,2,4,54,143,7,5,7,18,4,0,0,0,0,0,8,0,1,0,0,0,26,6,8,164,1,0,0,22,0,4,5,6,0,3
mostly61-27e7-44f7-9b3b-7a718e57f202,168,169,85,150,1,2,0,12,2575,8,34,20,573,28,236,9,3,3,6,18,89,2,1,1,12,5,0,0,0,0,0,1,0,0,0,0,4,33,8,12,80,2,50,0,40,50,0,0,0,0,12
mostly7f-3d84-4f07-b74c-d9b15e6d3fcb,133,205,67,74,50,3,6,21,5222,25,26,16,677,148,240,20,4,3,1,1,44,13,26,0,53,5,0,0,0,0,0,7,0,0,0,0,1,52,8,8,165,12,3,0,38,25,5,9,1,1,8
mostlyea-0da4-4a6f-9f25-3fdf578d3aec,282,199,42,156,18,2,8,57,16077,28,35,18,274,146,5,21,4,10,3,0,14,13,26,4,71,4,0,0,0,0,0,6,0,1,0,0,1,25,9,14,9,1,40,0,13,70,2,5,2,1,10
mostly12-b9cb-4c91-b354-03797fe0681e,89,170,97,19,42,3,0,59,2036,29,20,20,1122,70,24,3,4,24,0,54,97,13,25,1,74,5,0,0,0,0,0,7,0,1,0,0,3,15,9,1,60,2,1,0,1,74,4,8,6,0,5
mostlye8-2701-4297-83c4-f968bed6dd93,266,34,85,18,42,3,7,59,7481,5,15,18,292,77,245,7,3,29,5,48,22,6,8,10,56,2,0,0,0,0,0,12,0,0,0,0,0,11,8,0,165,5,68,0,35,38,5,0,6,0,0
mostlye5-467d-450c-bf04-324648263dd6,111,214,84,41,46,3,2,52,7610,29,14,6,1096,152,243,9,5,29,1,21,8,0,1,4,9,2,0,0,0,0,0,0,0,1,0,0,0,2,3,4,60,8,0,0,31,51,2,0,0,1,1
mostly44-aac2-4a39-8739-f2e70c2f9043,233,34,100,18,21,3,7,13,21698,27,36,20,490,145,242,19,0,29,2,3,102,0,27,10,37,0,0,0,0,0,0,8,0,1,0,0,4,1,10,3,119,8,75,0,40,109,2,2,7,0,3
mostly4f-1e64-4cb2-af4a-378ec9579fa4,389,20,88,148,46,3,8,27,3299,26,3,14,233,148,153,18,0,31,4,24,40,6,27,0,36,5,0,0,0,0,0,10,0,1,0,0,5,3,9,5,97,1,9,0,3,50,4,6,7,0,2
